R;G;B;A;Count
148;148;148;255;213
93;134;182;255;154
161;177;196;255;19
143;143;143;255;15
158;11;15;255;157
237;28;36;255;612
196;192;211;255;7
89;54;63;255;55
65;40;47;255;22
125;79;90;255;9
91;139;76;255;59
62;86;51;255;8
209;209;209;255;125
87;23;23;255;208
121;32;32;255;551
199;207;231;255;81
225;229;242;255;57
214;211;215;255;21
103;103;115;255;6
136;91;142;255;15
90;75;94;255;14
161;118;167;255;3
130;130;130;255;103
51;95;179;255;565
75;107;154;255;19
50;72;111;255;14
59;0;0;255;145
193;60;60;255;4
177;112;112;255;36
196;51;51;255;176
202;158;158;255;44
168;77;77;255;14
135;165;201;255;44
98;120;145;255;5
142;142;142;255;26
150;150;150;255;61
67;55;55;255;29
86;70;70;255;63
121;18;18;255;16
51;40;40;255;38
180;180;180;255;78
181;101;44;255;117
223;158;78;255;124
235;198;86;255;7
255;10;10;255;116
255;129;10;255;83
192;146;216;255;108
169;105;201;255;28
246;255;10;255;53
74;255;10;255;20
10;52;255;255;12
209;10;255;255;4
190;146;108;255;5
222;191;168;255;24
129;95;76;255;1
199;155;117;255;40
115;84;69;255;1
118;83;64;255;1
166;118;85;255;44
198;154;117;255;2
101;73;56;255;28
106;76;58;255;2
200;156;118;255;2
197;153;114;255;4
137;96;71;255;6
215;183;157;255;1
63;17;17;255;62
183;124;124;255;14
244;215;215;255;12
166;119;119;255;1
48;13;13;255;17
130;48;61;255;67
169;69;84;255;22
133;104;120;255;22
91;71;82;255;15
74;57;66;255;9
101;38;49;255;33
80;30;38;255;7
115;164;222;0;1
115;164;222;255;104
75;106;143;255;43
51;73;99;255;14
248;147;22;255;25
242;86;7;255;15
238;104;104;255;10
255;227;179;255;32
255;198;118;255;26
208;133;76;255;6
123;69;30;255;59
76;43;20;255;11
51;29;13;255;14
194;194;194;255;89
149;149;149;255;46
174;123;60;255;3
194;194;194;0;50
5;5;4;255;171
137;127;102;255;104
180;173;154;255;74
95;88;71;255;42
178;178;178;255;37
68;68;68;255;104
235;188;245;255;69
224;147;239;255;39
159;116;180;255;12
212;212;0;255;24
43;83;151;255;242
67;119;231;255;2593
191;191;0;255;21
157;157;0;255;16
137;108;93;255;27
185;173;166;255;10
108;40;40;255;25
199;168;168;255;8
199;199;199;255;4
125;125;125;255;12
170;134;87;255;37
114;90;58;255;23
230;188;122;255;14
80;63;41;255;7
190;165;135;0;4
190;165;135;255;54
211;190;166;255;56
132;33;33;255;14
148;129;105;255;23
132;33;33;0;1
198;194;213;255;78
156;149;182;255;16
111;76;137;255;19
87;60;108;255;39
70;48;87;255;25
53;34;67;255;5
66;42;83;255;21
5;0;0;255;464
167;105;40;255;87
219;150;60;255;256
205;205;205;255;36
140;140;140;255;33
61;39;16;255;72
101;64;25;255;39
141;88;33;255;169
141;88;33;0;1
208;198;50;255;30
223;143;91;255;31
255;191;127;255;6
7;5;2;255;96
165;121;33;255;32
199;146;40;255;29
238;215;169;255;21
215;162;55;255;54
112;82;23;255;16
128;83;83;255;58
160;109;109;255;111
87;56;56;255;11
167;87;59;255;120
148;116;50;255;20
194;155;77;255;34
204;109;109;255;34
231;164;164;255;31
173;98;98;255;36
139;85;85;255;8
140;94;42;255;69
195;132;59;255;73
215;173;124;255;9
237;218;196;255;8
107;72;32;255;16
31;146;27;255;64
19;93;17;255;16
116;123;168;255;56
163;168;197;255;16
83;90;133;255;25
190;125;197;255;14
209;163;214;255;16
155;92;162;255;4
227;199;230;255;15
202;205;218;255;25
172;177;197;255;22
127;135;165;255;8
7;0;0;255;327
154;1;0;255;31
230;2;1;255;38
134;101;91;255;111
88;66;60;255;55
65;49;44;255;22
219;109;62;255;114
189;81;35;255;64
139;59;25;255;21
99;23;99;255;46
139;55;143;255;129
179;103;183;255;149
4;4;4;255;139
197;197;197;255;76
156;156;156;255;13
223;223;223;255;60
81;81;81;255;66
147;215;251;255;523
221;86;28;255;49
