R;G;B;A;Count
114;19;19;26;1
114;19;19;23;2
114;19;19;19;2
114;19;19;38;3
114;19;19;32;1
114;19;19;31;1
114;19;19;27;2
114;19;19;28;2
114;19;19;49;1
114;19;19;47;1
114;19;19;44;1
114;19;19;42;1
114;19;19;39;1
114;19;19;41;1
114;19;19;64;1
114;19;19;62;1
114;19;19;57;1
114;19;19;55;1
114;19;19;54;2
114;19;19;51;1
114;19;19;52;1
114;19;19;53;1
114;19;19;81;1
114;19;19;75;1
114;19;19;74;1
114;19;19;73;2
114;19;19;67;1
114;19;19;70;2
114;19;19;71;1
114;19;19;99;1
114;19;19;92;1
114;19;19;89;2
114;19;19;86;2
114;19;19;85;1
114;19;19;87;1
114;19;19;90;1
114;19;19;114;1
114;19;19;111;1
114;19;19;106;3
114;19;19;103;1
114;19;19;102;1
114;19;19;104;1
114;19;19;108;1
114;19;19;126;2
114;19;19;127;3
114;19;19;122;1
114;19;19;119;1
114;19;19;124;2
114;19;19;144;2
114;19;19;142;2
114;19;19;143;1
114;19;19;140;2
114;19;19;141;1
114;19;19;145;1
114;19;19;150;1
114;19;19;163;1
114;19;19;162;2
114;19;19;157;2
114;19;19;156;1
114;19;19;159;1
114;19;19;160;1
114;19;19;164;1
114;19;19;166;1
114;19;19;175;1
114;19;19;174;2
114;19;19;171;1
114;19;19;170;1
114;19;19;172;1
114;19;19;177;1
114;19;19;182;2
114;19;19;184;2
114;19;19;193;1
114;19;19;188;1
114;19;19;186;2
114;19;19;191;1
114;19;19;192;1
114;19;19;196;2
114;19;19;195;1
114;19;19;201;2
114;19;19;202;1
114;19;19;199;2
114;19;19;200;1
114;19;19;203;1
114;19;19;206;1
114;19;19;208;1
114;19;19;209;3
114;19;19;211;2
114;19;19;212;1
114;19;19;213;1
114;19;19;216;1
114;19;19;218;2
114;19;19;221;2
114;19;19;217;1
114;19;19;220;2
114;19;19;219;1
114;19;19;224;3
114;19;19;227;3
114;19;19;228;3
114;19;19;225;1
114;19;19;232;1
114;19;19;234;2
114;19;19;235;3
114;19;19;236;2
114;19;19;233;2
114;19;19;240;5
114;19;19;239;4
114;19;19;238;1
114;19;19;244;6
114;19;19;246;3
114;19;19;247;6
114;19;19;245;1
114;19;19;248;2
114;19;19;249;7
114;19;19;251;5
114;19;19;250;4
114;19;19;252;2
114;19;19;253;6
114;19;19;254;3
121;18;18;252;4
121;18;18;251;1
121;18;18;254;5
129;17;17;253;4
129;17;17;252;1
129;17;17;255;5
140;15;15;254;4
140;15;15;253;1
140;15;15;255;5
152;14;14;254;3
152;14;14;255;7
